hotdog,name,longitude,latitude,address,is_2017,is_2018,is_2019,is_2020,is_2021,is_2022,is_2023,is_2024,description,img_url
Oriental Game Limited,Oriental Game Limited,121.0231694,14.53395565,"6th Floor, Ecoplaza Building, 2305 Chino Roces Extension, Makati City, Philippines",true,true,false,true,true,true,true,false,"Specializes in providing comprehensive gaming solutions and services, catering to the needs of online gaming platforms.",https://i.postimg.cc/dtwXJCZB/ecoplaza.jpg
Far Eastern Capital Limited,Far Eastern Capital Limited,121.021268,14.55635656,"35th Floor Tower 1, The Enterprise Center, 6766 Ayala Avenue corner Paseo de Roxas, Makati City, Philippines",true,true,false,true,false,true,false,false,"Focuses on investment and financial management within the gaming sector, supporting various POGOs through capital funding and strategic planning.",https://i.postimg.cc/YS6Y2vW6/enterprise-center.jpg
Marco Polo Enterprises Limited,Marco Polo Enterprises Limited,121.0206212,14.55776705,"Robinson Summit Center 20th Floor Ayala Avenue, Makati City, Philippines",true,true,false,true,true,true,false,false,"Offers a wide range of gaming-related services, including platform development, game design, and marketing strategies tailored for the Asian market.",https://i.postimg.cc/JhQ0dgv8/robinsons-summit.jpg
Imperial Choice Limited,Imperial Choice Limited,121.0129675,14.56028594,"9th Floor Burgundy Corporate Tower, 252 Sen. Gil Puyat Avenue, Makati City, Philippines",true,true,false,true,true,true,true,false,"Engaged in the operation and management of online gaming platforms, emphasizing high-quality customer service and secure transactions.",https://i.postimg.cc/BbRnKGLT/burgundy-corporate.jpg
Libo Consolidated Limited,Libo Consolidated Limited,121.0197153,14.55859484,"32nd Floor, PBCom Tower, Ayala Avenue, Makati City, Philippines",true,true,false,false,false,false,false,false,"Provides integrated gaming solutions, from software development to licensing and regulatory compliance, serving clients across Asia.",https://i.postimg.cc/rpgy94RF/pbcom.jpg
Fortuneport Enterprises Limited,Fortuneport Enterprises Limited,121.0129675,14.56028594,"24th Floor Burgundy Corporate Tower, Sen. Gil Puyat Avenue, Makati City, Philippines",true,true,false,true,false,true,false,false,"Specializes in the development and deployment of advanced gaming technologies, offering innovative solutions for online casinos and sports betting platforms.",https://i.postimg.cc/BbRnKGLT/burgundy-corporate.jpg
SC World Development Group Limited,SC World Development Group Limited,121.0197153,14.55859484,"21st Floor PBCom Tower, 6795 Ayala Avenue, Makati City, Philippines",true,true,false,true,false,true,false,false,"Offers a broad spectrum of services within the gaming industry, including project management, consulting, and technology integration for POGOs.",https://i.postimg.cc/rpgy94RF/pbcom.jpg
Golden Dragon Empire Limited,Golden Dragon Empire Limited,121.0101568,14.55910681,"26th Floor, Techzone Building, 213 Sen. Gil Puyat Avenue, Makati City, Philippines",true,true,false,true,true,false,true,false,"Focused on the production and distribution of gaming equipment and software, catering to both land-based and online gaming establishments.",https://i.postimg.cc/7Pjz7vyt/techzone.jpg
VIP Global Solutions Limited,VIP Global Solutions Limited,121.0129675,14.56028594,"24th Floor, Burgundy Corporate Tower, Sen. Gil Puyat Avenue, Makati City, Philippines",true,true,false,true,true,true,true,false,"Delivers customized gaming solutions, including VIP program management, loyalty systems, and personalized customer support services.",https://i.postimg.cc/BbRnKGLT/burgundy-corporate.jpg
MG Universal Link Limited,MG Universal Link Limited,121.0197153,14.55859484,"18th Floor, PBCom Tower, Ayala Avenue corner V.A. Rufino St., Makati City, Philippines",true,true,false,true,true,true,true,false,"Specializes in linking players between different online gaming platforms, enhancing player experience and promoting cross-platform play.",https://i.postimg.cc/rpgy94RF/pbcom.jpg
AG Interpacific Resources Limited,AG Interpacific Resources Limited,121.0101568,14.55910681,"29th Floor, Techzone Building, 213 Sen. G.Puyat Avenue, San Antonio, Makati City, Philippines",true,true,false,true,false,true,false,false,"Provides a range of resources and services to POGOs, including legal advice, recruitment, and operational support to navigate the complex regulatory landscape.",https://i.postimg.cc/7Pjz7vyt/techzone.jpg
BBIN International Limited,BBIN International Limited,121.0272184,14.57092803,"Makati City, Metro Manila, Philippines.",true,true,false,false,false,false,false,false,"Operates as a licensed online gambling service provider catering to international markets, with a significant presence in the Asian market.",https://i.postimg.cc/tTxqGMm7/makati.jpg
Eastern Hawaii Leisure Company Limited,Eastern Hawaii Leisure Company Limited,121.0197153,14.55859484,"32nd and 10th Floor, PBCom Tower, 6795 Ayala Avenue, Makati City",true,true,false,false,false,false,false,false,"Offers leisure and entertainment services, integrating gaming experiences with cultural tourism attractions in the Philippines.",https://i.postimg.cc/rpgy94RF/pbcom.jpg
PT Transpacific Company Limited,PT Transpacific Company Limited,121.0142257,14.55788729,"3rd Floor, King's Court 1 Bldg., 2129 Chino Roces Avenue, Pio del Pilar, Makati City, Philippines",true,true,false,true,false,true,false,false,"Engages in the importation and export of gaming equipment and technology, facilitating international trade within the gaming industry.",https://i.postimg.cc/zfL5TQNp/kings-court.jpg
OG Global Access Limited,OG Global Access Limited,121.0197153,14.55859484,"23rd Floor PBCom Tower, 6795 Ayala Avenue, Makati City, Philippines",true,true,false,true,true,true,true,false,"Provides global access solutions for POGOs, including payment processing, fraud detection, and compliance services to expand their reach internationally.",https://i.postimg.cc/rpgy94RF/pbcom.jpg
Dynamic System Limited,Dynamic System Limited,121.0205297,14.55909948,"Unit 252, Valero Plaza Condominium, 124 Valero St., Salcedo Village, Makati City, Philippines",true,true,false,true,true,true,true,false,"Develops dynamic gaming systems, incorporating AI and machine learning to enhance player engagement and optimize gaming operations.",https://i.postimg.cc/j50VPdZd/valero-plaza.jpg
Leading Reward Limited,Leading Reward Limited,121.0203128,14.56014756,"5th Floor, PDCP Bank Center, V.A. Rufino Street, Salcedo Village, Makati City, Philippines​",true,true,false,false,false,true,false,false,"Specializes in designing and implementing reward programs for online gaming platforms, encouraging player retention and loyalty.",https://i.postimg.cc/NfG31n7T/pdcp.jpg
Kingwell International Group Limited,Kingwell International Group Limited,121.0170587,14.56090119,"20th Floor, Tower II, RCBC Plaza, Ayala Avenue corner Sen. Gil Puyat Avenue, Makati City, Philippines",true,true,false,true,false,true,false,false,"Offers a suite of services for POGOs, including logistics, supply chain management, and procurement of gaming hardware and software.",https://i.postimg.cc/vmnkYwbR/rcbc-plaza.jpg
Defun Global Investment,Defun Global Investment,121.0182572,14.51924845,"6th Floor, Star Cruises Centre, Andrews Avenue, Pasay City, Philippines",true,true,false,true,false,true,false,false,"Invests in emerging gaming technologies and startups, aiming to drive innovation and growth within the POGO sector.",https://i.postimg.cc/t4ZmkG11/star-cruises.jpg
Inner Strong Limited,Inner Strong Limited,121.0180499,14.51905769,"6th Floor Star Cruise Center, 100 Andrews Avenue, Pasay City, Philippines",true,true,false,true,true,true,false,false,"Specializes in providing robust and secure gaming platforms, emphasizing internal strength and reliability in offshore gaming operations.",https://i.postimg.cc/t4ZmkG11/star-cruises.jpg
Four Leaf Technology Inc.,Four Leaf Technology Inc.,121.0180499,14.51905769,"7th Floor Star Cruises, Andrews Avenue, Brgy. 183, Zone 20, Pasay City, Philippines",true,true,false,true,false,true,false,false,"Offers innovative technology solutions for the gaming industry, aiming to bring luck and success to operators and players alike with cutting-edge software.",https://i.postimg.cc/t4ZmkG11/star-cruises.jpg
Smarc Group International Limited,Smarc Group International Limited,120.2805797,14.83083062,"5th Floor, RM Centerpoint Magsaysay Drive corner Rizal Avenue, East Tapinac, Olongapo City, Philippines",true,true,false,true,true,true,true,false,"Focuses on smart and efficient gaming technologies, delivering international-standard services and products in the offshore gaming sector.",https://i.postimg.cc/tTyS91BP/rm-centerpoint.jpg
Ximax Holding Limited,Ximax Holding Limited,121.0180499,14.51905769,"6th Floor Star Cruises Building, Andrews Avenue, Newport, Pasay City, Philippines",true,true,false,false,false,true,false,false,"Holds expertise in maximizing potential in the gaming market, offering comprehensive solutions for offshore gaming operations.",https://i.postimg.cc/t4ZmkG11/star-cruises.jpg
Puerto Galera Holdings Ltd.,Puerto Galera Holdings Ltd.,121.0398618,14.64186192,"20th Floor, Three Cyberpod North Tower, Quezon City, Philippines",true,true,false,false,false,false,false,false,"Likely focuses on creating immersive and engaging online gaming experiences inspired by the beauty and allure of Puerto Galera, a renowned tourist destination in the Philippines.",https://i.postimg.cc/bYmCjwkD/three-cyberpod.jpg
New Wave Infotech Limited,New Wave Infotech Limited,120.2802563,14.81806987,"2nd Floor, Executive Villa, Teleempire Bldg., Lot 32 & 33 Waterfront Road, Subic Central Business District, Subic Bay Freeport Zone, Olongapo, Philippines",true,true,false,true,false,true,true,false,Embraces the latest wave of technology advancements to deliver innovative and secure offshore gaming solutions.,https://i.postimg.cc/YCWbgNVY/tele-empire.jpg
Xionwei Technology Co. Ltd. Inc,Xionwei Technology Co. Ltd. Inc,120.9858286,14.58206095,"The Pearl Manila Hotel, Gen. Luna St. Ermita, Manila, Philippines",true,true,false,true,true,true,true,false,Combines Eastern wisdom with Western technology to create unique and culturally rich gaming experiences for the global market.,https://i.postimg.cc/HnN98j96/pearl-manila.jpg
NewLink Pacific Limited,NewLink Pacific Limited,120.9407012,14.32646263,"Pasong Tala, Brgy. Zone IV, Dasmarinas Cavite City Philippines",true,true,false,false,true,true,false,false,"Establishes new links between players and exciting gaming opportunities across the Pacific region, focusing on connectivity and accessibility.",https://i.postimg.cc/gj13kQG5/aguinaldo-hwy.jpg
Pride Fortune Limited,Pride Fortune Limited,121.0121498,14.5516501,"Block 3 Lot 37, Arnaiz Street corner Washington Street, Makati City, Philippines",true,true,false,true,false,true,false,false,Takes pride in delivering fortune and success to its clients through high-quality gaming services and products.,https://i.postimg.cc/XYS9RRHB/arnaiz-washington.jpg
OLE Group International Limited,OLE Group International Limited,121.0145806,14.5556452,"8F Marvin Plaza, Makati City, Philippines",true,true,false,false,false,false,false,false,"Stands for Online Leisure Entertainment, offering a wide range of digital entertainment and gaming solutions globally.",https://i.postimg.cc/yN7cdFzV/marvin-plaza.jpg
Prestige IOM Limited,Prestige IOM Limited,121.0197153,14.55859484,"19th Floor, PBCom Tower, Ayala Avenue corner Rufino Street, Makati City, Philippines",true,true,false,true,true,true,true,false,"Provides prestigious and high-class gaming services, emphasizing integrity, quality, and excellence in the Isle of Man jurisdiction.",https://i.postimg.cc/rpgy94RF/pbcom.jpg
Wilshire Worldwide Company Limited,Wilshire Worldwide Company Limited,120.991172,14.53571634,"11th Floor, Tower 2, Double Dragon Plaza, 2850 EDSA, Pasay City, Philippines",true,true,false,true,false,true,false,false,"Operates globally, offering a variety of gaming services and products with a focus on worldwide reach and diversity.",https://i.postimg.cc/25TvBVzn/dd-plaza.jpg
Wanfang Technology Management Limited,Wanfang Technology Management Limited,121.0197153,14.55859484,"35th Floor, PBCom Tower, corner Ayala Avenue and V.A. Rufino Streets, Makati City, Philippines",true,true,false,true,true,true,true,false,"Specializes in the management of advanced technology for gaming, aiming to push the boundaries of innovation in the industry.",https://i.postimg.cc/rpgy94RF/pbcom.jpg
Giant Gains Solutions Inc.,Giant Gains Solutions Inc.,121.0142257,14.55788729,"6th Floor, Kingscourt Bldg II, Chino Roces Avenue, Makati City, Philippines",true,true,false,false,false,true,false,false,Focuses on generating significant gains for its partners and clients through strategic gaming solutions and services.,https://i.postimg.cc/zfL5TQNp/kings-court.jpg
Full Strength Trading Limited,Full Strength Trading Limited,121.0145998,14.55463749,"8th Floor, Pacifica One Center, 2178 Chino Roces Avenue, Makati City, Philippines",true,true,false,true,false,true,false,false,"Employs full-strength strategies in trading and gaming operations, ensuring robust and profitable outcomes.",https://i.postimg.cc/sXNhwqGX/pacifica-one.jpg
Swanston Asia Inc.,Swanston Asia Inc.,121.0128556,14.56515615,"7646 Guijo Street, San Antonio, Makati City, Philippines",true,true,false,true,false,true,false,false,"Delivers elegant and sophisticated gaming solutions across Asia, drawing inspiration from the grace and beauty of swans.",https://i.postimg.cc/c1v90NmF/guijo.jpg
Don Tencess Asian Services Solution Inc.,Don Tencess Asian Services Solution Inc.,120.9841271,14.57146665,"Ground Floor, Alpha Grandview Condominium, 1716 MH Del Pilar St., Malate, Manila, Philippines",true,true,false,true,false,true,false,false,"Offers comprehensive service solutions for the Asian gaming market, emphasizing customer satisfaction and operational efficiency.",https://i.postimg.cc/pX8s5Y38/alpha-grandview.jpg
Vertex Digital Entertainment Technologies Inc.,Vertex Digital Entertainment Technologies Inc.,120.9897065,14.5340875,"5th Floor, Biopolis Bldg., Central Business Park 1-A076/1, Diosdado Macapagal Avenue, Pasay City, Philippines",true,true,false,true,true,true,true,false,"At the vertex of digital entertainment, this company pushes the limits of technology to create immersive and engaging gaming experiences.",https://i.postimg.cc/VkZg3GCx/biopolis.jpg
Winherld Entertainment World Limited,Winherld Entertainment World Limited,120.9912175,14.53620046,"11th Floor of Double Dragon Plaza, EDSA Corner Macapagal Avenue, Pasay City, Philippines",true,true,false,true,true,true,true,false,"Creates a world of entertainment where winning is heralded, focusing on fun, excitement, and rewarding experiences for gamers.",https://i.postimg.cc/25TvBVzn/dd-plaza.jpg
Blue Frog Contents & Support Inc.,Blue Frog Contents & Support Inc.,123.9100582,10.33298014,"6th Floor, ebloc Tower 4, Jose Maria Del Mar, IT Park, Lahug, Cebu, Philippines",true,true,false,false,false,true,false,false,"Provides vibrant and dynamic content along with supportive services for the gaming industry, symbolized by the agility and adaptability of blue frogs.",https://i.postimg.cc/qqj00H0c/ebloc.jpg
Jolie Investments Limited,Jolie Investments Limited,123.9351659,10.32238746,"7th Floor, Adnama Building, Larrazabal Avenue, North Reclamation Area, Mandaue City, Cebu, Philippines",true,true,false,true,false,true,false,false, Provides content and support services for gaming operations.,https://i.postimg.cc/5N2bgyqs/adnama.jpg
Sohu Expert Int’l Management Solutions Inc.,Sohu Expert Int’l Management Solutions Inc.,120.9845569,14.59068893,"C503 Zen Tower, 1111 Natividad A. Lopez Street, Ermita, Manila, Philippines",true,true,false,true,true,true,true,false,Focuses on investment strategies within the gaming industry.,https://i.postimg.cc/289mKY0r/zen-towers.jpg
Micro Info Systems Ltd,Micro Info Systems Ltd,121.0197153,14.55859484,"16th Floor, PBCom Tower, 6795 Ayala Avenue corner V.A. Rufino Street, Makati City, Philippines",true,true,false,true,true,true,true,false,Offers international management solutions tailored for gaming businesses.,https://i.postimg.cc/rpgy94RF/pbcom.jpg
King Rich International Group Limited,King Rich International Group Limited,121.0197153,14.55859484,"33rd Floor, PBCom Tower, Ayala Avenue, Makati City, Philippines,",true,true,false,true,false,true,false,false,Specializes in information systems and technology for gaming platforms.,https://i.postimg.cc/rpgy94RF/pbcom.jpg
Most Success International Group Limited,Most Success International Group Limited,121.0076075,14.53243666,"240 Clemente Jose Street, Barangay 165 Malibay, Pasay City, Philippines",true,true,false,true,true,true,true,false,Engages in international gaming investments and operations.,https://i.postimg.cc/qvt0fFFn/clemente-jose.jpg
High Zone Capital Investment Group Limited,High Zone Capital Investment Group Limited,121.0197153,14.55859484,"22nd Floor, PBCom Tower, 6795 Ayala Avenue corner V.A. Rufino St., Salcedo Village, Makati City, Philippines",true,true,false,true,true,true,true,false,Invests in capital-intensive gaming projects.,https://i.postimg.cc/rpgy94RF/pbcom.jpg
Cosmic Ace Holdings Ltd.,Cosmic Ace Holdings Ltd.,120.2988693,14.82396991,"Gateway Hub Bldg. Lot C-3, Active corner Humility Streets, Commercial Area, Subic Bay Gateway Phase 1, Subic Bay Freeport Zone, Olongapo, Philippines",true,true,false,true,false,true,false,false,"Holds assets in the gaming sector, focusing on high-stake games.",https://i.postimg.cc/VNn8vCmk/gateway-hub.jpg
Smile World Global Limited,Smile World Global Limited,121.0197153,14.55859484,"39th Floor, PBCom Tower, Ayala Avenue corner Rufino St., Makati City, Philippines",true,true,false,true,false,true,false,false,Offers global gaming experiences with a focus on customer satisfaction.,https://i.postimg.cc/rpgy94RF/pbcom.jpg
Riesling Capital Limited,Riesling Capital Limited,120.9436459,14.42840723,"Km. 20, Aguinaldo Hi-way, Palico 3, Imus, Cavite, Philippines",true,true,false,true,true,true,true,false,"Manages capital for gaming companies, aiming for steady growth.",https://i.postimg.cc/C5LTcrDR/aguinaldo-hwy.jpg
Kirschner Games International Inc.,Kirschner Games International Inc.,121.0445906,14.24230168,"South Blvd. corner Wedgewood Road, South Forbes Golf City, Brgy. Inchican, Silang, Cavite, Philippines",true,true,false,true,false,true,false,false,Develops and markets international gaming software and hardware.,https://i.postimg.cc/8cK89dBt/south-wedgewood.jpg
Saint Wealth Ltd.,Saint Wealth Ltd.,120.5220708,15.19302108,"Midori Bldg., N5390 C.M. Recto Avenue, Clarkfield, Pampanga, Philippines",true,true,false,true,true,true,true,false,Concentrates on wealth generation through strategic gaming investments.,https://i.postimg.cc/bNrfbMpM/midori.jpg
Tech Innovation Management Limited,Tech Innovation Management Limited,120.9825079,14.57365339,"5th Floor, AG New World Manila Bay Hotel, 1588 corner M.H. del Pilar Street, Manila, Philippines",false,true,false,true,true,true,true,false,Manages technological innovations for the gaming industry.,https://i.postimg.cc/qvCfD3tx/new-world.jpg
Single Yard Holdings Ltd.,Single Yard Holdings Ltd.,120.9911208,14.54890355,"Marbella I,2223 Roxas Blvd, Pasay City, Philippines",false,true,false,false,false,false,false,false,Holds various gaming-related assets and investments.,https://i.postimg.cc/VNjxmPWS/marbella.jpg
Synchronization Anywhere for You Inc.,Synchronization Anywhere for You Inc.,120.9906936,14.53449675,"6th Floor, Eastfield Center, Macapagal Avenue, MOA Complex, Pasay City, Philippines",false,true,false,true,false,true,false,false,Provides synchronization services for remote gaming operations.,https://i.postimg.cc/MT5gf04q/eastfield-center.jpg
SA Dreamtech Group International Technology,SA Dreamtech Group International Technology,121.0101568,14.55910681,"23rd Floor, Techzone Bldg., Malugay St., San Antonio Makati City, Philippines",false,true,false,true,false,true,false,false,Specializes in international technology solutions for gaming.,https://i.postimg.cc/7Pjz7vyt/techzone.jpg
"Benestar Co., Ltd.","Benestar Co., Ltd.",121.0096525,14.43570773,"467 Alabang-Zapote Road, Almanza Uno, Las Pinas City, Philippines",false,false,false,true,true,true,true,false,Offers comprehensive benefits and support services for gaming employees.,https://i.postimg.cc/JhWFTdCR/467-zapote.jpg
BestBetInNet Limited,BestBetInNet Limited,121.0101568,14.55910681,"27th Floor, Techzone Building, 213 Sen. G. Puyat Avenue, Makati City, Philippines",false,false,false,true,false,true,false,false,Focused on betting networks and online gambling platforms.,https://i.postimg.cc/7Pjz7vyt/techzone.jpg
Blessed Dragon Limited,Blessed Dragon Limited,123.943805,10.33329778,"3rd Floor, Everjust Building, A.C. Cortes Ave., Ibabao-Estancia, Mandaue City, Cebu, Philippines",false,false,false,true,false,false,false,false,Engages in dragon-themed gaming products and services.,https://i.postimg.cc/zBxPGzbf/everjust-mandaue.jpg
Dragon Wealth System Inc.,Dragon Wealth System Inc.,121.0501275,14.57101572,"8th Floor, Robinson's Cybergate 3 EDSA Pioneer Street, Mandaluyong City, Philippines",false,false,false,true,false,true,false,false,Develops systems for wealth accumulation through gaming.,https://i.postimg.cc/J0tYyfZ5/robinsons-cybergate.jpg
Easy Access Limited,Easy Access Limited,121.027466,14.55802443,"14th Floor, Zuellig Building, Makati Avenue, Makati City, Philippines",false,false,false,true,false,false,false,false,Provides easy access to online gaming platforms and services.,https://i.postimg.cc/hvwyV20W/zuellig.jpg
Full Advantage Investments Limited,Full Advantage Investments Limited,120.9891158,14.52143705,"3rd Floor, Bayshore Residential Resort 1, Carpark Building, Bayshore Boulevard, Parañaque City, Philippines",false,false,false,true,false,false,true,false,Seeks full advantage of market opportunities in the gaming sector.,https://i.postimg.cc/TYzNwHwn/bayshore.jpg
Gambol Leisure and Amusement Inc.,Gambol Leisure and Amusement Inc.,123.9204139,10.3415529,"7th Floor, The Space Building corner A.S. Fortuna St. & P. Remedios St., Mandaue City, Cebu, Philippines",false,false,false,true,false,false,false,false,Offers leisure and amusement services within the gaming industry.,https://i.postimg.cc/25w00kxx/space-bldg.jpg
Genx Sports International Limited,Genx Sports International Limited,121.0535243,14.63171912,"#73 K8th Street, Brgy. East Kamias, Quezon City, Philippines",false,false,false,true,true,true,true,false,Focuses on sports-related gaming and betting platforms.,https://i.postimg.cc/9MgJjLKR/73-k8th.jpg
Giant Isle Group Limited,Giant Isle Group Limited,121.0034526,14.53445025,"2264 Aurora Boulevard corner Edang Street, Brgy. 149 San Roque, Pasay City, Philippines",false,false,false,true,true,false,false,false,Operates in the gaming industry with a focus on large-scale projects.,https://i.postimg.cc/9QH1VR8p/2264-aurora.jpg
Golden Dreamer Holdings Limited,Golden Dreamer Holdings Limited,120.9888096,14.53690529,"3rd Floor, METLIVE Bldg., Metro Park EDSA Extension cor. Macapagal Blvd., Pasay City, Philippines",false,false,false,true,false,true,false,false,Pursues dreams and ambitions through gaming investments.,https://i.postimg.cc/1tdcdfVD/met-live.jpg
Great-Gaming International Corp.,Great-Gaming International Corp.,123.9342578,10.33608255,"Norkis Cyber Park, A.S. Fortuna St., Corner V. Albano St., Bakilid, Mandaue City, Cebu, Philippines",false,false,false,true,false,true,false,false,Dedicated to providing excellent gaming experiences internationally.,https://i.postimg.cc/cJ4zytCz/norkis-cyberpark.jpg
Hk Feibiai International Group Limited,Hk Feibiai International Group Limited,121.0304448,14.45991551,"Nissan Sucat Zentrum, 8390 Dr. Arcadio Santos Avenue, Barangay BF Homes, Sucat, Parañaque City, Philippines",false,false,false,true,true,false,false,false,An international group involved in various aspects of gaming.,https://i.postimg.cc/NGrzccGQ/nissan-sucat.jpg
Infiniweb Technology Inc.,Infiniweb Technology Inc.,120.9968705,14.54307615,"Unit A, 2256 Galvez Street, Pasay City, Metro Manila, Philippines",false,false,false,true,true,false,true,false,Specializes in web-based technologies for the gaming industry.,https://i.postimg.cc/s2NwkntB/galvez.jpg
Lebo Limited,Lebo Limited,121.0197153,14.55859484,"32nd Floor, PBCom Tower, Ayala Avenue, Makati City, Philippines",false,false,false,true,false,true,false,false,"Involved in gaming operations and investments, emphasizing quality and innovation.",https://i.postimg.cc/rpgy94RF/pbcom.jpg
Philippine Cockfighting International Inc.,Philippine Cockfighting International Inc.,120.6101334,15.20231644,"2nd Floor, KACC Philmade Annex Bldg. Lots 1 & 2, Corners J. Abad Santos and E. Quirino Streets, Clark Freeport Zone, Pampanga, Philippines",false,false,false,true,true,true,false,false,Focuses on international cockfighting events and betting.,https://i.postimg.cc/rsSjtqzW/kacc-bldg.jpg
Philsync Technologies Limited,Philsync Technologies Limited,120.6726595,15.02278735,"Kings Royal Building, Cabalantian, Bacolor, Pampanga, Philippines",false,false,false,true,false,false,false,false,Provides technological solutions for synchronizing gaming operations.,https://i.postimg.cc/L8yTPC4y/kings-royal.jpg
Shaw Global Leisure Ltd.,Shaw Global Leisure Ltd.,121.0290849,14.59329773,"8th Floor, MG Tower, SHaw Boulevard, Daang Bakal, Mandaluyong City, Philippines",false,false,false,true,true,true,true,false,Offers global leisure and entertainment services within the gaming sector.,https://i.postimg.cc/8zFFytBX/mg-tower.jpg
66 Global Solutions Inc.,66 Global Solutions Inc.,120.9927396,14.54159311,"1302 Roxas Blvd, Pasay, Metro Manila, Philippines",false,false,false,false,true,false,true,false,Delivers global solutions for gaming challenges and opportunities.,https://i.postimg.cc/26Thp3q0/roxas-blvd.jpg
888 World Solutions Inc.,888 World Solutions Inc.,121.0621552,14.58701105,"Ortigas, Pasig City",false,false,false,false,true,false,false,false,"888 World Solutions Inc. was previously registered as a Philippine Offshore Gaming Operator (POGO) but had its registration cancelled by PAGCOR as of January 31, 2022.",https://i.postimg.cc/brkGyJdX/ortigas.jpg
Bigger Success Limited,Bigger Success Limited,121.0272184,14.57092803,"Makati City, Metro Manila, Philippines",false,false,false,false,true,false,true,false,"Functions as a licensed POGO, providing online gambling services to an international audience, with operations compliant with PAGCOR's standards.",https://i.postimg.cc/tTxqGMm7/makati.jpg
Hongsheng Gaming Technology,Hongsheng Gaming Technology,120.5486535,15.29821974,"No. 888 Sitio Pag-Asa, Anupul, Bamban, Tarlac, Philippines",false,false,false,false,true,false,false,false,Specializes in advanced gaming technologies and platforms.,https://i.postimg.cc/ZnHSxtMB/pagasa-bamban.jpg
Lucky South99 Outsourcing Inc.,Lucky South99 Outsourcing Inc.,120.5523085,15.13565838,"4HP2+5WR, Angeles, Pampanga, Philippines",false,false,false,false,true,false,true,false,"Provides outsourcing services for gaming companies, focusing on luck-based games.",https://i.postimg.cc/Qd5f2kjS/lucky-south.jpg
Axria Technologies Inc.,Axria Technologies Inc.,121.0142471,14.55789767,"3F King’s Court 1 Bldg., Chino Roces Ave., Makati City​",false,false,false,false,false,false,true,false,Develops and implements technologies for the gaming industry.,https://i.postimg.cc/zfL5TQNp/kings-court.jpg
Daxifa Corporation,Daxifa Corporation,121.0280281,14.64625179,"93 West Ave, Project 7, Quezon City, 1105 Metro Manila, Philippines",false,false,false,false,false,false,true,false,"Engaged in various gaming-related activities, emphasizing innovation and efficiency.",https://i.postimg.cc/qRYnBSLK/93-westave.jpg
KNW Technology Inc.,KNW Technology Inc.,121.0499245,14.57574526,"103 Equinox Plaza Building, Sierra Madre Street, Highway Hills, Mandaluyong City, Manila, Philippines",false,false,false,false,false,false,true,false,Specializes in technology solutions for knowledge workers in the gaming industry.,https://i.postimg.cc/FHmcqSGX/equinox-plaza.jpg